Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.02.12_10.23.18	10.405716	63.418165	Telia N	121687	11	2305	5G	-105	-11	9.0	-	-	48	31	61	8	0	557062	50208	595567	52536
2025.02.12_10.25.18	10.405716	63.418165	Telia N	121687	11	2305	5G	-105	-12	10.0	-	-	64	39	240	59	0	423642	47466	454085	49823
2025.02.12_10.27.19	10.405716	63.418165	Telia N	121687	11	2305	5G	-105	-11	8.0	-	-	64	35	240	59	0	369387	48188	420554	50881
2025.02.12_10.29.19	10.405716	63.418165	Telia N	121687	11	2305	5G	-104	-11	10.0	-	-	58	28	243	62	0	288659	49013	316199	50500
2025.02.12_10.31.19	10.405716	63.418165	Telia N	121687	11	2305	5G	-105	-12	8.0	-	-	67	38	237	57	0	584242	44675	588045	46916
2025.02.12_10.33.19	10.405716	63.418165	Telia N	121687	11	2305	5G	-104	-11	9.0	-	-	63	29	284	74	0	284568	43716	377173	47551
2025.02.12_10.35.20	10.405716	63.418165	Telia N	121687	11	2305	5G	-105	-12	4.0	-	-	67	37	235	56	0	384287	46536	452053	49084
2025.02.12_10.37.20	10.405716	63.418165	Telia N	121687	11	2305	5G	-104	-12	8.0	-	-	53	42	62	6	0	527670	47309	558595	48672
2025.02.12_10.39.20	10.405716	63.418165	Telia N	121687	11	2305	5G	-107	-11	9.0	-	-	70	39	247	59	0	348707	47437	449619	48349
