timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,servingcell,is_tdd,LTE_MCC,LTE_MNC,LTE_cellID,LTE_PCID,LTE_ARFCN,freq_band_ind,UL_bandwidth,DL_bandwidth,LTE_TAC,LTE_RSRP,LTE_RSRQ,LTE_RSSI,LTE_SINR,LTE_CQI,LTE_tx_power,srxlev,5G cell,5G_MCC,5G_MNC,5G_PCID,5G_RSRP,5G_SINR,5G_RSRQ,5G_ARFCN,5G_band,,
2025-03-08T14:45:33.190742Z,309590779.65112424,106957494.31833841,25.261,59.9494,10.7564,Oslo,Norway,Telia Norge AS,31861,25.261,http://www.speedtest.net/result/17467075252.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-12,-34,12,9,-40,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-08T14:50:58.864871Z,306739927.78691864,113049952.1222498,22.099,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,22.099,http://www.speedtest.net/result/17467092649.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-13,-30,12,10,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-08T14:56:25.244834Z,302516765.03094345,107657979.68484041,24.578,59.9494,10.7564,Oslo,Norway,Iver Norge AS,18316,24.578,http://www.speedtest.net/result/17467110037.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-31,13,7,-50,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-08T15:01:52.629236Z,271499907.2178,111074093.33775412,26.589,59.9494,10.7564,Oslo,Norway,Telia Norge AS,31861,26.589,http://www.speedtest.net/result/17467127720.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-12,-34,13,10,-310,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-08T15:07:19.713023Z,249970251.59775096,111680307.2513323,23.191,61.1153,10.4662,Lillehammer,Norway,Eidsiva bredbånd AS,15513,23.191,http://www.speedtest.net/result/17467145041.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-12,-33,10,7,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-08T15:12:47.126219Z,380594129.08548295,113982273.99073626,25.471,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,25.471,http://www.speedtest.net/result/17467163274.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-13,-36,11,9,140,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,30,-11,647424,78,12,1
2025-03-08T15:18:13.060662Z,311454268.84624225,114861681.2364067,23.615,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,23.615,http://www.speedtest.net/result/17467180729.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-32,8,7,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
2025-03-08T15:23:40.292323Z,306020184.2183417,111965160.6987576,33.917,59.9494,10.7564,Oslo,Norway,AVUR AS,18967,33.917,http://www.speedtest.net/result/17467198332.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-33,10,5,-310,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,30,-11,647424,78,12,1
2025-03-08T15:29:07.261419Z,258965596.7968925,110445454.78368838,23.854,61.1153,10.4662,Lillehammer,Norway,Eidsiva bredbånd AS,15513,23.854,http://www.speedtest.net/result/17467215905.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-35,11,9,-30,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
2025-03-08T15:34:35.084320Z,300634453.63291985,106327460.6109697,24.929,59.9494,10.7564,Oslo,Norway,Telia Norge AS,31861,24.929,http://www.speedtest.net/result/17467233088.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-35,11,7,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
2025-03-08T15:40:01.968759Z,288921989.08116585,107645332.06102636,36.244,55.6750,12.5687,Copenhagen,Denmark,Hiper A/S,14014,36.244,http://www.speedtest.net/result/17467250270.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-13,-34,12,7,-30,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,30,-11,647424,78,12,1
2025-03-08T15:45:29.473837Z,310182785.98928845,111855968.8511365,32.246,61.1153,10.4662,Lillehammer,Norway,Eidsiva bredbånd AS,15513,32.246,http://www.speedtest.net/result/17467268258.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-13,-32,11,10,-30,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
2025-03-08T15:50:56.162459Z,324691248.1966797,102144554.62335141,36.258,59.3294,18.0686,Stockholm,Sweden,SUNET,26852,36.258,http://www.speedtest.net/result/17467285754.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-35,11,6,-330,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
