timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,servingcell,is_tdd,LTE_MCC,LTE_MNC,LTE_cellID,LTE_PCID,LTE_ARFCN,freq_band_ind,UL_bandwidth,DL_bandwidth,LTE_TAC,LTE_RSRP,LTE_RSRQ,LTE_RSSI,LTE_SINR,LTE_CQI,LTE_tx_power,srxlev,5G cell,5G_MCC,5G_MNC,5G_PCID,5G_RSRP,5G_SINR,5G_RSRQ,5G_ARFCN,5G_band,,
2025-03-09T15:50:19.790687Z,304869750.1858041,129995163.54234013,27.379,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,27.379,http://www.speedtest.net/result/17470638882.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-68,-12,-36,11,7,-330,-,"+QENG: ""NR5G-NSA""",242,02,376,-83,28,-11,647424,78,12,1
2025-03-09T15:55:50.990801Z,106001761.65349609,11000911.633608364,43.624,55.4960,9.4731,Kolding,Denmark,Cloud Factory A/S,47805,43.624,http://www.speedtest.net/result/17470655297.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-67,-12,-35,10,4,-290,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,28,-11,647424,78,12,1
2025-03-09T16:01:19.739234Z,303372463.09112525,121344877.17102729,22.549,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,22.549,http://www.speedtest.net/result/17470672185.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-68,-12,-34,10,7,-320,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
2025-03-09T16:06:51.108255Z,327327947.8757281,129986367.42312041,20.833,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,20.833,http://www.speedtest.net/result/17470688661.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-68,-13,-37,11,8,-320,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
2025-03-09T16:12:25.471206Z,313806577.2795019,133599608.27506898,22.314,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,22.314,http://www.speedtest.net/result/17470705583.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-68,-13,-37,10,7,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,28,-11,647424,78,12,1
2025-03-09T16:17:58.142110Z,317657648.3230454,128243229.25054988,27.647,61.2298,7.1005,Sogndal,Norway,Sognenett AS,16182,27.647,http://www.speedtest.net/result/17470721762.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-68,-14,-35,9,4,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,28,-11,647424,78,12,1
2025-03-09T16:23:24.287732Z,338527115.19394594,121138714.64270301,23.417,59.8848,11.5694,Bjørkelangen,Norway,VEV,56503,23.417,http://www.speedtest.net/result/17470738292.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-67,-14,-32,10,7,-310,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,29,-11,647424,78,12,1
2025-03-09T16:28:56.452857Z,196934245.48628423,21782032.472730268,40.201,55.4960,9.4731,Kolding,Denmark,Cloud Factory A/S,47805,40.201,http://www.speedtest.net/result/17470755364.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-67,-13,-36,11,8,-270,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,28,-11,647424,78,12,1
2025-03-09T16:34:29.273413Z,309480028.0085188,127212131.55193803,28.078,61.2298,7.1005,Sogndal,Norway,Sognenett AS,16182,28.078,http://www.speedtest.net/result/17470772144.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-67,-12,-27,11,8,-290,-,"+QENG: ""NR5G-NSA""",242,02,376,-82,28,-11,647424,78,12,1
2025-03-09T16:39:55.975642Z,346941587.43888426,116371304.64012167,27.848,63.4305,10.3951,Trondheim,Norway,Sikt - Uninett,25057,27.848,http://www.speedtest.net/result/17470788862.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-68,-12,-35,10,8,-310,-,"+QENG: ""NR5G-NSA""",242,02,376,-81,29,-11,647424,78,12,1
