Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.04.02_11.49.36	10.400303	63.411275	ice+	251080	21	62002	5G	-85	-11	18.0	-	-	39	32	80	14	0	25019	29130	25323	33145
2025.04.02_11.50.17	10.400303	63.411275	ice+	251080	21	62002	5G	-80	-11	21.0	-	-	40	34	63	8	0	24906	30515	25368	33164
2025.04.02_11.50.57	10.400303	63.411275	ice+	251080	21	62002	5G	-82	-11	20.0	-	-	38	30	82	15	0	24898	27660	25211	30509
2025.04.02_11.51.37	10.400303	63.411275	ice+	251080	21	62002	5G	-81	-11	19.0	-	-	36	31	43	4	0	24923	28211	25552	33569
2025.04.02_11.52.17	10.400303	63.411275	ice+	251080	21	62002	5G	-80	-11	20.0	-	-	37	31	78	14	0	25030	27096	25306	30540
2025.04.02_11.52.57	10.400303	63.411275	ice+	251080	21	62002	5G	-81	-11	19.0	-	-	41	31	96	19	0	24958	31200	25234	32245
2025.04.02_11.53.37	10.400303	63.411275	ice+	251080	21	62002	5G	-79	-11	20.0	-	-	35	31	39	3	0	25026	30567	25177	34011
2025.04.02_11.54.17	10.400303	63.411275	ice+	251080	21	62002	5G	-85	-11	17.0	-	-	33	30	34	1	0	25039	29102	25575	35432
