Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.04.02_11.56.43	10.400245	63.411279	Telia N	241699	21	2305	5G	-91	-11	29.0	-	-	48	37	60	7	0	654755	83435	806448	86017
2025.04.02_11.57.23	10.400245	63.411279	Telia N	241699	21	2305	5G	-88	-11	26.0	-	-	49	39	57	6	0	884208	72213	954434	73428
2025.04.02_11.58.03	10.400245	63.411279	Telia N	241699	21	2305	5G	-81	-11	28.0	-	-	47	37	60	8	0	911160	79578	970933	81998
2025.04.02_11.58.43	10.400245	63.411279	Telia N	241699	21	2305	5G	-86	-11	26.0	-	-	51	38	64	7	0	841669	83278	972206	86348
2025.04.02_11.59.24	10.400245	63.411279	Telia N	241699	21	2305	5G	-80	-11	29.0	-	-	49	37	61	7	0	780998	81126	878566	83325
2025.04.02_12.00.04	10.400245	63.411279	Telia N	241699	21	2305	5G	-81	-11	29.0	-	-	46	36	53	5	0	872071	83045	944500	86794
2025.04.02_12.00.44	10.400245	63.411279	Telia N	241699	21	2305	5G	-85	-11	28.0	-	-	48	36	62	7	0	847985	78816	908429	84370
2025.04.02_12.01.24	10.400245	63.411279	Telia N	241699	21	2305	5G	-90	-11	26.0	-	-	51	42	60	6	0	912225	77885	978600	79907
2025.04.02_12.02.04	10.400245	63.411279	Telia N	241699	21	2305	5G	-80	-11	29.0	-	-	46	35	56	6	0	861102	76217	1007553	80306
