timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-06T16:12:46.013985Z,226193667.83379924,112283596.64556241,28.838,57.1167,12.2167,Varberg,Sweden,Mediateknik,6648,28.838,http://www.speedtest.net/result/17459407777.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-36,10,8,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,29,-11,647424,78,12,1
2025-03-06T16:18:12.748528Z,221972593.75598857,101118754.82341933,38.592,56.8790,14.8059,Växjö,Sweden,Net at Once Sweden AB,63770,38.592,http://www.speedtest.net/result/17459428935.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-34,9,4,-40,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T16:23:39.310948Z,260703944.0187281,112194448.59646101,27.962,57.1167,12.2167,Varberg,Sweden,Mediateknik,6648,27.962,http://www.speedtest.net/result/17459449947.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-36,11,10,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T16:29:06.224343Z,290834186.9881475,115523678.18450001,28.92,61.1153,10.4662,Lillehammer,Norway,Eidsiva bredbånd AS,15513,28.92,http://www.speedtest.net/result/17459471965.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-33,12,8,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T16:34:42.959778Z,262538486.72476128,106313871.9864917,25.257,61.1153,10.4662,Lillehammer,Norway,Eidsiva bredbånd AS,15513,25.257,http://www.speedtest.net/result/17459494170.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-12,-34,12,12,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,29,-11,647424,78,12,1
2025-03-06T16:40:28.689536Z,351313707.62291425,112401737.03013845,26.185,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,26.185,http://www.speedtest.net/result/17459516071.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-35,13,6,-40,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T16:46:02.514235Z,332844986.635118,114819876.37505703,27.352,63.4305,10.3951,Trondheim,Norway,Sikt - Uninett,25057,27.352,http://www.speedtest.net/result/17459538473.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-12,-34,13,8,-50,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T16:51:39.179886Z,304679821.25392944,116901204.48292784,24.457,63.4305,10.3951,Trondheim,Norway,Sikt - Uninett,25057,24.457,http://www.speedtest.net/result/17459560055.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-67,-13,-32,12,10,-50,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
2025-03-06T16:57:14.356075Z,238628729.97165206,99835860.23277086,34.578,59.3294,18.0686,Stockholm,Sweden,Bahnhof AB,34024,34.578,http://www.speedtest.net/result/17459581658.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-66,-12,-30,11,10,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-80,30,-11,647424,78,12,1
2025-03-06T17:02:41.724312Z,309379856.4674871,113268051.35518959,35.928,64.0150,11.4953,Steinkjer,Norway,NTE Telekom A/S,19080,35.928,http://www.speedtest.net/result/17459603419.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE1F,349,1650,3,5,5,901,-68,-13,-34,11,8,-320,-,"+QENG: ""NR5G-NSA""",242,02,376,-79,30,-11,647424,78,12,1
