Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.03.26_09.30.41	10.392105	63.430825	ice+	250770	26	62002	5G	-76	-12	22.0	-	-	37	31	70	11	0	433441	75900	449939	81866
2025.03.26_09.31.21	10.392105	63.430825	ice+	250770	26	62002	5G	-76	-12	22.0	-	-	38	31	84	16	0	373338	67104	399010	74010
2025.03.26_09.32.01	10.392105	63.430825	ice+	250770	26	62002	5G	-76	-12	22.0	-	-	36	31	47	5	0	498506	72076	520100	73967
2025.03.26_09.32.42	10.392105	63.430825	ice+	250770	26	62002	5G	-76	-12	22.0	-	-	38	31	77	13	0	482549	64322	532516	73049
2025.03.26_09.33.22	10.392105	63.430825	ice+	250770	26	62002	5G	-76	-12	22.0	-	-	35	29	65	10	0	521617	69486	556367	73008
2025.03.26_09.34.02	10.392105	63.430825	ice+	250770	26	62002	5G	-75	-12	27.0	-	-	33	30	44	4	0	431659	67307	494193	72598
2025.03.26_09.34.42	10.392105	63.430825	ice+	250770	26	62002	5G	-74	-11	30.0	-	-	36	29	60	9	0	388667	69835	416725	71810
2025.03.26_09.35.22	10.392105	63.430825	ice+	250770	26	62002	5G	-74	-11	30.0	-	-	34	30	55	7	0	385053	64622	433905	73826
