Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.03.26_09.18.27	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	68	38	247	60	0	635709	79700	733352	82799
2025.03.26_09.19.07	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	43	37	54	5	0	717076	69910	808869	73196
2025.03.26_09.19.48	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	46	40	57	4	0	728911	74703	825728	80595
2025.03.26_09.20.28	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	54	43	78	9	0	810863	71443	940472	73835
2025.03.26_09.21.08	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	62	42	95	18	0	883919	73366	934401	78207
2025.03.26_09.21.48	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	58	39	98	18	0	872828	71873	935546	75678
2025.03.26_09.22.28	10.39184	63.430816	Telia N	121612	21	2305	5G	-74	-11	27.0	-	-	50	40	60	6	0	884402	69992	957034	70817
2025.03.26_09.23.09	10.39184	63.430816	Telia N	121612	21	2305	5G	-77	-11	29.0	-	-	68	44	97	20	0	748536	76564	878516	80207
