Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.03.26_09.09.09	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	62	30	267	69	0	968672	78808	1012584	82117
2025.03.26_09.09.49	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	46	40	48	2	0	985763	83196	1021371	86346
2025.03.26_09.10.29	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	42	37	47	3	0	969390	79149	1022349	85695
2025.03.26_09.11.09	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	45	38	48	3	0	962831	78552	1009361	82170
2025.03.26_09.11.49	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	45	39	50	3	0	968104	80107	1020637	85492
2025.03.26_09.12.30	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	43	38	46	2	0	976162	81684	1015652	84284
2025.03.26_09.13.10	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	43	37	47	3	0	719639	81691	976387	84170
2025.03.26_09.13.51	10.394698	63.422583	Telia N	126452	11	2305	5G	-80	-11	24.0	-	-	317	40	1751	549	10	945853	82243	1011559	85383
